Ride,Date/Time,Wait Time
Haunted Mansion,2022-01-22 20:20:22,40
Haunted Mansion,2022-01-22 20:25:22,40
Haunted Mansion,2022-01-22 20:30:22,40
Haunted Mansion,2022-01-22 20:35:23,40
Haunted Mansion,2022-01-22 20:40:23,40
Haunted Mansion,2022-01-22 20:45:22,20
Haunted Mansion,2022-01-22 20:50:22,20
Haunted Mansion,2022-01-22 20:55:22,20
Haunted Mansion,2022-01-22 21:00:26,20
Haunted Mansion,2022-01-22 21:05:23,20
Haunted Mansion,2022-01-22 21:10:23,20
Haunted Mansion,2022-01-22 21:15:22,20
Haunted Mansion,2022-01-22 21:20:22,20
Haunted Mansion,2022-01-22 21:25:24,20
Haunted Mansion,2022-01-22 21:30:24,20
Haunted Mansion,2022-01-22 21:35:23,20
Haunted Mansion,2022-01-22 21:40:22,20
Haunted Mansion,2022-01-22 21:45:23,20
Haunted Mansion,2022-01-22 21:50:22,20
Haunted Mansion,2022-01-22 21:55:23,20
Haunted Mansion,2022-01-22 22:00:22,13
Haunted Mansion,2022-01-22 22:05:22,13
Haunted Mansion,2022-01-22 22:10:23,13
Haunted Mansion,2022-01-22 22:15:22,13
Haunted Mansion,2022-01-22 22:20:23,13
Haunted Mansion,2022-01-22 22:25:22,13
Haunted Mansion,2022-01-22 22:30:23,13
Haunted Mansion,2022-01-22 22:35:23,13
Haunted Mansion,2022-01-22 22:40:23,13
Haunted Mansion,2022-01-22 22:45:22,13
Haunted Mansion,2022-01-22 22:50:23,13
Haunted Mansion,2022-01-22 22:55:22,13
Haunted Mansion,2022-01-22 23:00:23,13
Haunted Mansion,2022-01-22 23:05:22,13
Haunted Mansion,2022-01-22 23:10:23,13
Haunted Mansion,2022-01-22 23:15:22,13
Haunted Mansion,2022-01-22 23:20:23,13
Haunted Mansion,2022-01-22 23:25:23,13
Haunted Mansion,2022-01-22 23:30:23,13
Haunted Mansion,2022-01-22 23:35:23,13
Haunted Mansion,2022-01-22 23:40:22,13
Haunted Mansion,2022-01-22 23:45:22,13
Haunted Mansion,2022-01-22 23:50:22,13
Haunted Mansion,2022-01-22 23:55:23,13
Haunted Mansion,2022-01-23 00:00:23,13
Haunted Mansion,2022-01-23 08:40:22,13
